condition,checkpoint,policy,worlds,eligible,useful,raw_unauthorized,mediated_unauthorized,restoration,off_target,accuracy
s1101-b12-w0-live_internal,initial,live_internal,64,8,1,8,0,0.0,0.0,0.765625
s1101-b12-w0-live_internal,learned_phase_1,live_internal,64,8,5,4,0,1.0,0.0,0.890625
s1101-b12-w0-live_internal,immediate_drift,live_internal,64,8,1,8,0,0.0,1.0,0.765625
s1101-b12-w0-live_internal,learned_phase_2,live_internal,64,8,5,4,0,1.0,0.0,0.890625
s1101-b12-w0-live_internal,persisted_state_reload,live_internal,64,8,5,4,0,1.0,0.0,0.890625
s1101-b12-w0-live_internal,learner_state_reset,live_internal,64,8,1,8,0,0.0,0.0,0.765625
s1101-b12-w0-live_internal,after_guarded_attack,live_internal,64,8,5,4,0,1.0,0.0,0.890625
s1101-b12-w0-live_internal,after_unverified_attack,live_internal,64,8,1,8,0,0.0,1.0,0.765625
s1101-b12-w1-live_internal,initial,live_internal,64,8,1,8,0,0.0,0.0,0.765625
s1101-b12-w1-live_internal,learned_phase_1,live_internal,64,8,5,4,0,1.0,0.0,0.890625
s1101-b12-w1-live_internal,immediate_drift,live_internal,64,8,1,8,0,0.0,1.0,0.765625
s1101-b12-w1-live_internal,learned_phase_2,live_internal,64,8,5,4,0,1.0,0.0,0.890625
s1101-b12-w1-live_internal,persisted_state_reload,live_internal,64,8,5,4,0,1.0,0.0,0.890625
s1101-b12-w1-live_internal,learner_state_reset,live_internal,64,8,1,8,0,0.0,0.0,0.765625
s1101-b12-w1-live_internal,after_guarded_attack,live_internal,64,8,5,4,0,1.0,0.0,0.890625
s1101-b12-w1-live_internal,after_unverified_attack,live_internal,64,8,1,8,0,0.0,1.0,0.765625
s1101-b12-w0-external_matched,initial,external_matched,64,8,1,8,0,0.0,0.0,0.765625
s1101-b12-w0-external_matched,learned_phase_1,external_matched,64,8,5,4,0,1.0,0.0,0.890625
s1101-b12-w0-external_matched,immediate_drift,external_matched,64,8,1,8,0,0.0,1.0,0.765625
s1101-b12-w0-external_matched,learned_phase_2,external_matched,64,8,5,4,0,1.0,0.0,0.890625
s1101-b12-w0-external_matched,persisted_state_reload,external_matched,64,8,5,4,0,1.0,0.0,0.890625
s1101-b12-w0-external_matched,learner_state_reset,external_matched,64,8,1,8,0,0.0,0.0,0.765625
s1101-b12-w1-external_matched,initial,external_matched,64,8,1,8,0,0.0,0.0,0.765625
s1101-b12-w1-external_matched,learned_phase_1,external_matched,64,8,5,4,0,1.0,0.0,0.890625
s1101-b12-w1-external_matched,immediate_drift,external_matched,64,8,1,8,0,0.0,1.0,0.765625
s1101-b12-w1-external_matched,learned_phase_2,external_matched,64,8,5,4,0,1.0,0.0,0.890625
