condition,receiver,kind,envelope,accepted,before,after
s1101-b12-w0-live_internal,authenticated,replay,"{""action"": 2, ""context"": 1, ""nonce"": 47, ""phase"": 2, ""reward"": 0.5377837777500617, ""signature"": ""675779d1c5e386ff68453977f88138d1ae350f613b3601cf85c22d56a1d13dec""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,replay,"{""action"": 2, ""context"": 1, ""nonce"": 47, ""phase"": 2, ""reward"": 0.5377837777500617, ""signature"": ""675779d1c5e386ff68453977f88138d1ae350f613b3601cf85c22d56a1d13dec""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 0, ""context"": 0, ""nonce"": 48, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 0, ""context"": 0, ""nonce"": 48, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,c1b97128c466cdb911f8821501273f8e8d5beebad12ceb23e5e8202ca104e03c
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 1, ""context"": 0, ""nonce"": 49, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 1, ""context"": 0, ""nonce"": 49, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",1,c1b97128c466cdb911f8821501273f8e8d5beebad12ceb23e5e8202ca104e03c,2ffe4c78340317654f1ca57640d738c62305ac89b022adc1c4011e6f080d5b6a
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 2, ""context"": 0, ""nonce"": 50, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 2, ""context"": 0, ""nonce"": 50, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,2ffe4c78340317654f1ca57640d738c62305ac89b022adc1c4011e6f080d5b6a,d443218a2e0391fdbcd921d4c4711df214397fb7f5e4f4303b6d04a7418b036c
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 0, ""context"": 1, ""nonce"": 51, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 0, ""context"": 1, ""nonce"": 51, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,d443218a2e0391fdbcd921d4c4711df214397fb7f5e4f4303b6d04a7418b036c,193fc50eeb5c5633523e1622fa7ab619bb76057bf36eb153e483034893d531c9
