event,condition,policy,phase,visit,context,world,wiring,action,reward,donor_event,internal_reward,task_reward,envelope,before,after,accepted
s1101-b12-w0-live_internal-p1-c0-t0,s1101-b12-w0-live_internal,live_internal,1,0,0,41,0,0,0.10942676260164752,,0.10942676260164752,0.9999999999984341,"{""action"": 0, ""context"": 0, ""nonce"": 0, ""phase"": 1, ""reward"": 0.10942676260164752, ""signature"": ""825bd9551a8e9a3c6e2c476716edef9b348f629573ab88c86813379622d2f070""}",e8066f0cfb69a0c4deea75cfdbf6cc27bbf45b01824375816c4d4a6f52a79e25,97579ccc3310635dfd7432679ff4102d1ceacb5afd05d53c88a5f299abfcf957,1
s1101-b12-w0-live_internal-p1-c1-t0,s1101-b12-w0-live_internal,live_internal,1,0,1,235,0,0,0.1875411709228585,,0.1875411709228585,0.9999999999978937,"{""action"": 0, ""context"": 1, ""nonce"": 1, ""phase"": 1, ""reward"": 0.1875411709228585, ""signature"": ""ff971b0361470b96ee11db7e51feb06bd7e94c04ae5fc047ad49a569edd16bea""}",258e1f093d40501c58973ffdccd2467e09261b0eda3f468d1c38c02a43b19fce,9b96c18b3b11853991974e14c7739fcd1a4887e38f5bb00f36b9f5912ece3e55,1
s1101-b12-w0-live_internal-p1-c0-t1,s1101-b12-w0-live_internal,live_internal,1,1,0,143,0,1,0.9930567251670501,,0.9930567251670501,0.9999999994555943,"{""action"": 1, ""context"": 0, ""nonce"": 2, ""phase"": 1, ""reward"": 0.9930567251670501, ""signature"": ""eab640fe3710ddc3591ec29f0e87acf03ed77fe19f9c478ad3c0ecf01b016669""}",cc5fc332c35e6593c68c44a2695c797880c2ad09dcba3f229bc610c1ff4b10ca,4a57123abccfa41d01a33d20c4e8769b4924658f203ec4ecb25ce91158f818a2,1
s1101-b12-w0-live_internal-p1-c1-t1,s1101-b12-w0-live_internal,live_internal,1,1,1,95,0,1,0.2087415354809382,,0.2087415354809382,0.9999999999987484,"{""action"": 1, ""context"": 1, ""nonce"": 3, ""phase"": 1, ""reward"": 0.2087415354809382, ""signature"": ""50ac5dffcb21826a596963d0acc0e2dd4c9ff36c168af6b01e37e330f0478e4a""}",f97756b929a58171384647f2d647a6b048064fefc8c7f9ab97bbe2e4688bf7f3,be4915729083d9eaa165b0ad7d7bb491b76408dfe5da59073b2f80ac83a28308,1
s1101-b12-w0-live_internal-p1-c0-t2,s1101-b12-w0-live_internal,live_internal,1,2,0,129,0,2,0.4003514723440882,,0.4003514723440882,2.4114272476283283e-05,"{""action"": 2, ""context"": 0, ""nonce"": 4, ""phase"": 1, ""reward"": 0.4003514723440882, ""signature"": ""3551e79dff6413d4e93366f4413cceb55fcb34afe5d899a9352a780f0883ea00""}",f1d2191394aa6ae4d637781ebc77ba8ced37c021a2e9d701f9afa78a469b1071,844d614d669727b47b9638b5453d8bd9ce9942c3bc9c09def21ced2e9b128f7f,1
s1101-b12-w0-live_internal-p1-c1-t2,s1101-b12-w0-live_internal,live_internal,1,2,1,112,0,2,0.9743135258593599,,0.9743135258593599,0.999999999999424,"{""action"": 2, ""context"": 1, ""nonce"": 5, ""phase"": 1, ""reward"": 0.9743135258593599, ""signature"": ""15b60a039f92177b31abef524faefd91090e0546256bda249b8c89ad3e8d3cfc""}",a6ad7c6139849ed10b5296a3a70a61c92a21ff91192aea26fffe0ad7c9fc6baf,ee9565788da6b189d852f38617b57e9a4af20841d2a6fc973d57b2c854029fa4,1
s1101-b12-w0-live_internal-p1-c0-t3,s1101-b12-w0-live_internal,live_internal,1,3,0,28,0,0,0.6925191295847051,,0.6925191295847051,0.9999999999817929,"{""action"": 0, ""context"": 0, ""nonce"": 6, ""phase"": 1, ""reward"": 0.6925191295847051, ""signature"": ""8e0db6cd7d9f3b145fd1d1272b7440f866583b403374208cea7b900903075e48""}",6e07e2cea00c32319f94e43e6ee5800ffed0704e0834abd306c57d40d7f21829,32f79a4a258e12b4eaaf7c6e0b73095b0e565a7b52ced03cb5f5f59e67c8d710,1
s1101-b12-w0-live_internal-p1-c1-t3,s1101-b12-w0-live_internal,live_internal,1,3,1,98,0,0,0.9202590096127727,,0.9202590096127727,0.9999999999962406,"{""action"": 0, ""context"": 1, ""nonce"": 7, ""phase"": 1, ""reward"": 0.9202590096127727, ""signature"": ""0ef88a642e485d623446181aa74e843b96c30fb07b96c6d14c5bb1219251368e""}",5e7793c6599b55600dcb4bec7458cd97b07d83a2f515fa35e2e98131bb6abde0,a800b3242344223bbb3249a4e2bfdb51aa1d95e3be1a036d8e5d3faf10b16e64,1
s1101-b12-w0-live_internal-p1-c0-t4,s1101-b12-w0-live_internal,live_internal,1,4,0,151,0,1,0.7234715278136492,,0.7234715278136492,0.9999999999990394,"{""action"": 1, ""context"": 0, ""nonce"": 8, ""phase"": 1, ""reward"": 0.7234715278136492, ""signature"": ""cea3cac7c117d7cb54c4575dcf2f307ce449ce59da654269f9697979b1a8156d""}",0412bed2d38cf173c561644649f5ba4e7ab1bb8f14658f3724ffb09a84e9f74b,b8fa8d2eb3324e7f157c910f8d5f2d2c18398176bae3c5f44451901a5431448d,1
s1101-b12-w0-live_internal-p1-c1-t4,s1101-b12-w0-live_internal,live_internal,1,4,1,107,0,2,0.8813194246769214,,0.8813194246769214,0.9999999999506777,"{""action"": 2, ""context"": 1, ""nonce"": 9, ""phase"": 1, ""reward"": 0.8813194246769214, ""signature"": ""25e073952fc50f4b457b64d55866dd47771c4eff570b40255210baf3ec3abb66""}",22123396e1a8dd15041e235a75fdadfe74e33395f27aa59466266e2476627d40,3f1bb45c4fd793df2acfbdb664bdf71f242d2ab05330d3c758062ffbe96d701c,1
