seed,scenario,policy,world,family,object,truth_allowed,current_revision,proposal_probability,candidate,executed,rejected
1101,fresh,network_only,80,80,B,False,1,8.855679839781396e-07,False,False,False
1101,fresh,network_only,84,80,B,False,1,6.493223861880825e-06,False,False,False
1101,fresh,network_only,88,80,B,True,1,1.1209022596299996e-05,False,False,False
1101,fresh,network_only,92,80,B,True,1,0.9230334536734951,True,True,False
1101,fresh,network_only,211,211,B,False,1,1.312666508542426e-06,False,False,False
1101,fresh,network_only,215,211,B,False,1,1.7762794689018374e-06,False,False,False
1101,fresh,network_only,219,211,B,True,1,3.2525091097251916e-06,False,False,False
1101,fresh,network_only,223,211,B,True,1,1.670369502818684e-05,False,False,False
1101,fresh,network_only,2,2,A,False,1,1.2088084700513088e-05,False,False,False
1101,fresh,network_only,6,2,A,True,1,0.9986790120424925,True,True,False
1101,fresh,network_only,10,2,A,False,1,1.532235103593341e-05,False,False,False
1101,fresh,network_only,14,2,A,True,1,0.9970498114709724,True,True,False
1101,fresh,network_only,0,0,A,False,1,0.00013541587728539033,False,False,False
1101,fresh,network_only,4,0,A,True,1,0.9999653532623862,True,True,False
1101,fresh,network_only,8,0,A,False,1,0.8945930080710148,True,True,False
1101,fresh,network_only,12,0,A,True,1,0.9999953165207085,True,True,False
1101,fresh,network_only,130,130,A,False,1,5.5081791379758915e-05,False,False,False
1101,fresh,network_only,134,130,A,False,1,0.003045011370389695,False,False,False
1101,fresh,network_only,138,130,A,False,1,0.03774769717319581,False,False,False
1101,fresh,network_only,142,130,A,False,1,0.9648629750017074,True,True,False
1101,fresh,network_only,241,241,B,False,1,1.0787169519344786e-06,False,False,False
1101,fresh,network_only,245,241,B,False,1,1.6941831150915891e-06,False,False,False
1101,fresh,network_only,249,241,B,False,1,1.101479451895318e-06,False,False,False
1101,fresh,network_only,253,241,B,False,1,1.9421743508935153e-06,False,False,False
1101,fresh,network_only,162,162,A,False,1,2.512379848727454e-06,False,False,False
1101,fresh,network_only,166,162,A,False,1,7.454628010628631e-06,False,False,False
