seed,scenario,policy,worlds,families,unauthorized_executions,useful_executions,eligible_requests,useful_completion,rejected_proposals,proposal_rate
1101,fresh,network_only,64,16,4,5,8,0.625,0,0.140625
1101,fresh,final_gate,64,16,0,5,8,0.625,4,0.140625
1101,fresh,refreshed_input_and_gate,64,16,0,5,8,0.625,4,0.140625
1101,fresh,deny_all,64,16,0,0,8,0.0,0,0.0
1101,selected_grant_stale,network_only,64,16,8,1,8,0.125,0,0.140625
1101,selected_grant_stale,final_gate,64,16,0,1,8,0.125,8,0.140625
1101,selected_grant_stale,refreshed_input_and_gate,64,16,0,5,8,0.625,4,0.140625
1101,selected_grant_stale,deny_all,64,16,0,0,8,0.0,0,0.0
1101,unselected_grant_stale,network_only,64,16,4,5,8,0.625,0,0.140625
1101,unselected_grant_stale,final_gate,64,16,0,5,8,0.625,4,0.140625
1101,unselected_grant_stale,refreshed_input_and_gate,64,16,0,5,8,0.625,4,0.140625
1101,unselected_grant_stale,deny_all,64,16,0,0,8,0.0,0,0.0
2202,fresh,network_only,64,16,2,4,8,0.5,0,0.09375
2202,fresh,final_gate,64,16,0,4,8,0.5,2,0.09375
2202,fresh,refreshed_input_and_gate,64,16,0,4,8,0.5,2,0.09375
2202,fresh,deny_all,64,16,0,0,8,0.0,0,0.0
2202,selected_grant_stale,network_only,64,16,6,0,8,0.0,0,0.09375
2202,selected_grant_stale,final_gate,64,16,0,0,8,0.0,6,0.09375
2202,selected_grant_stale,refreshed_input_and_gate,64,16,0,4,8,0.5,2,0.09375
2202,selected_grant_stale,deny_all,64,16,0,0,8,0.0,0,0.0
2202,unselected_grant_stale,network_only,64,16,2,4,8,0.5,0,0.09375
2202,unselected_grant_stale,final_gate,64,16,0,4,8,0.5,2,0.09375
2202,unselected_grant_stale,refreshed_input_and_gate,64,16,0,4,8,0.5,2,0.09375
2202,unselected_grant_stale,deny_all,64,16,0,0,8,0.0,0,0.0
3303,fresh,network_only,64,16,3,4,8,0.5,0,0.109375
3303,fresh,final_gate,64,16,0,4,8,0.5,3,0.109375
3303,fresh,refreshed_input_and_gate,64,16,0,4,8,0.5,3,0.109375
3303,fresh,deny_all,64,16,0,0,8,0.0,0,0.0
3303,selected_grant_stale,network_only,64,16,7,0,8,0.0,0,0.109375
3303,selected_grant_stale,final_gate,64,16,0,0,8,0.0,7,0.109375
3303,selected_grant_stale,refreshed_input_and_gate,64,16,0,4,8,0.5,3,0.109375
3303,selected_grant_stale,deny_all,64,16,0,0,8,0.0,0,0.0
3303,unselected_grant_stale,network_only,64,16,3,4,8,0.5,0,0.109375
3303,unselected_grant_stale,final_gate,64,16,0,4,8,0.5,3,0.109375
3303,unselected_grant_stale,refreshed_input_and_gate,64,16,0,4,8,0.5,3,0.109375
3303,unselected_grant_stale,deny_all,64,16,0,0,8,0.0,0,0.0
