arm,turn,state,state_rational,fixed_point,utterance,control_action
positive,0,0.75,3/4,0.8571428571428571,constant,none
positive,1,0.825,33/40,0.8571428571428571,constant,none
positive,2,0.8475,339/400,0.8571428571428571,constant,none
positive,3,0.85425,3417/4000,0.8571428571428571,constant,none
positive,4,0.856275,34251/40000,0.8571428571428571,constant,none
positive,5,0.8568825,342753/400000,0.8571428571428571,constant,none
positive,6,0.85706475,3428259/4000000,0.8571428571428571,constant,none
positive,7,0.857119425,34284777/40000000,0.8571428571428571,constant,none
positive,8,0.8571358275,342854331/400000000,0.8571428571428571,constant,none
positive,9,0.85714074825,3428562993/4000000000,0.8571428571428571,constant,none
positive,10,0.857142224475,34285688979/40000000000,0.8571428571428571,constant,none
positive,11,0.8571426673425,342857066937/400000000000,0.8571428571428571,constant,none
positive,12,0.85714280020275,3428571200811/4000000000000,0.8571428571428571,constant,none
positive,13,0.857142840060825,34285713602433/40000000000000,0.8571428571428571,constant,none
positive,14,0.8571428520182475,342857140807299/400000000000000,0.8571428571428571,constant,none
positive,15,0.8571428556054742,3428571422421897/4000000000000000,0.8571428571428571,constant,none
positive,16,0.8571428566816423,34285714267265691/40000000000000000,0.8571428571428571,constant,none
positive,17,0.8571428570044927,342857142801797073/400000000000000000,0.8571428571428571,constant,none
positive,18,0.8571428571013479,3428571428405391219/4000000000000000000,0.8571428571428571,constant,none
positive,19,0.8571428571304044,34285714285216173657/40000000000000000000,0.8571428571428571,constant,none
positive,20,0.8571428571391213,342857142855648520971/400000000000000000000,0.8571428571428571,constant,none
negative,0,0.75,3/4,0.6923076923076923,constant,none
negative,1,0.675,27/40,0.6923076923076923,constant,none
negative,2,0.6975,279/400,0.6923076923076923,constant,none
negative,3,0.69075,2763/4000,0.6923076923076923,constant,none
negative,4,0.692775,27711/40000,0.6923076923076923,constant,none
negative,5,0.6921675,276867/400000,0.6923076923076923,constant,none
negative,6,0.69234975,2769399/4000000,0.6923076923076923,constant,none
negative,7,0.692295075,27691803/40000000,0.6923076923076923,constant,none
negative,8,0.6923114775,276924591/400000000,0.6923076923076923,constant,none
negative,9,0.69230655675,2769226227/4000000000,0.6923076923076923,constant,none
negative,10,0.692308032975,27692321319/40000000000,0.6923076923076923,constant,none
negative,11,0.6923075901075,276923036043/400000000000,0.6923076923076923,constant,none
negative,12,0.69230772296775,2769230891871/4000000000000,0.6923076923076923,constant,none
negative,13,0.692307683109675,27692307324387/40000000000000,0.6923076923076923,constant,none
negative,14,0.6923076950670976,276923078026839/400000000000000,0.6923076923076923,constant,none
negative,15,0.6923076914798707,2769230765919483/4000000000000000,0.6923076923076923,constant,none
negative,16,0.6923076925560387,27692307702241551/40000000000000000,0.6923076923076923,constant,none
negative,17,0.6923076922331883,276923076893275347/400000000000000000,0.6923076923076923,constant,none
negative,18,0.6923076923300435,2769230769320173959/4000000000000000000,0.6923076923076923,constant,none
negative,19,0.692307692300987,27692307692039478123/40000000000000000000,0.6923076923076923,constant,none
negative,20,0.6923076923097039,276923076923881565631/400000000000000000000,0.6923076923076923,constant,none
