revision,policy,artifacts,eligible,useful,unauthorized,useful_fraction,clarifications,unknown_remaining
1,semantic_nearest,24,11,6,7,0.5454545454545454,0,0
1,semantic_top_two,24,11,2,1,0.18181818181818182,0,0
1,lineage_stale,24,11,8,0,0.7272727272727273,0,5
1,lineage_current,24,11,8,0,0.7272727272727273,0,5
1,lineage_with_clarification,24,11,9,0,0.8181818181818182,2,3
1,deny_all,24,11,0,0,0.0,0,24
2,semantic_nearest,24,9,6,5,0.6666666666666666,0,0
2,semantic_top_two,24,9,1,0,0.1111111111111111,0,0
2,lineage_stale,24,9,0,8,0.0,0,5
2,lineage_current,24,9,7,0,0.7777777777777778,0,5
2,lineage_with_clarification,24,9,8,0,0.8888888888888888,2,3
2,deny_all,24,9,0,0,0.0,0,24
