case,arm,layer,kind,prior_positions_max_error,last_position_max_error
J05_g0_c0_recipient,internal,0,key,0.0,0.0
J05_g0_c0_recipient,internal,0,value,0.0,0.0
J05_g0_c0_recipient,internal,1,key,0.0,0.0
J05_g0_c0_recipient,internal,1,value,0.0,0.0
J05_g0_c0_recipient,internal,2,key,0.0,0.0
J05_g0_c0_recipient,internal,2,value,0.0,0.0
J05_g0_c0_recipient,internal,3,key,0.0,0.0
J05_g0_c0_recipient,internal,3,value,0.0,0.0
J05_g0_c0_recipient,internal,4,key,0.0,0.0
J05_g0_c0_recipient,internal,4,value,0.0,0.0
J05_g0_c0_recipient,internal,5,key,0.0,0.0
J05_g0_c0_recipient,internal,5,value,0.0,0.0
J05_g0_c0_recipient,internal,6,key,0.0,0.0
J05_g0_c0_recipient,internal,6,value,0.0,0.0
J05_g0_c0_recipient,internal,7,key,0.0,0.0
J05_g0_c0_recipient,internal,7,value,0.0,0.0
J05_g0_c0_recipient,internal,8,key,0.0,0.0
J05_g0_c0_recipient,internal,8,value,0.0,0.0
J05_g0_c0_recipient,internal,9,key,0.0,1.207704782485962
J05_g0_c0_recipient,internal,9,value,0.0,1.7131452560424805
J05_g0_c0_recipient,internal,10,key,0.0,1.019063115119934
J05_g0_c0_recipient,internal,10,value,0.0,1.199228048324585
J05_g0_c0_recipient,internal,11,key,0.0,1.3309059143066406
J05_g0_c0_recipient,internal,11,value,0.0,1.4293041229248047
J05_g0_c0_recipient,task,0,key,0.0,0.0
J05_g0_c0_recipient,task,0,value,0.0,0.0
J05_g0_c0_recipient,task,1,key,0.0,0.0
J05_g0_c0_recipient,task,1,value,0.0,0.0
J05_g0_c0_recipient,task,2,key,0.0,0.0
J05_g0_c0_recipient,task,2,value,0.0,0.0
J05_g0_c0_recipient,task,3,key,0.0,0.0
J05_g0_c0_recipient,task,3,value,0.0,0.0
J05_g0_c0_recipient,task,4,key,0.0,0.0
J05_g0_c0_recipient,task,4,value,0.0,0.0
J05_g0_c0_recipient,task,5,key,0.0,0.0
J05_g0_c0_recipient,task,5,value,0.0,0.0
J05_g0_c0_recipient,task,6,key,0.0,0.0
J05_g0_c0_recipient,task,6,value,0.0,0.0
J05_g0_c0_recipient,task,7,key,0.0,0.0
J05_g0_c0_recipient,task,7,value,0.0,0.0
J05_g0_c0_recipient,task,8,key,0.0,0.0
J05_g0_c0_recipient,task,8,value,0.0,0.0
J05_g0_c0_recipient,task,9,key,0.0,0.5208640098571777
J05_g0_c0_recipient,task,9,value,0.0,0.9167819023132324
J05_g0_c0_recipient,task,10,key,0.0,0.431331068277359
J05_g0_c0_recipient,task,10,value,0.0,0.5055931806564331
J05_g0_c0_recipient,task,11,key,0.0,0.3051903247833252
J05_g0_c0_recipient,task,11,value,0.0,0.5501570701599121
J05_g0_c0_recipient,yoked,0,key,0.0,0.0
J05_g0_c0_recipient,yoked,0,value,0.0,0.0
J05_g0_c0_recipient,yoked,1,key,0.0,0.0
J05_g0_c0_recipient,yoked,1,value,0.0,0.0
J05_g0_c0_recipient,yoked,2,key,0.0,0.0
J05_g0_c0_recipient,yoked,2,value,0.0,0.0
J05_g0_c0_recipient,yoked,3,key,0.0,0.0
J05_g0_c0_recipient,yoked,3,value,0.0,0.0
J05_g0_c0_recipient,yoked,4,key,0.0,0.0
J05_g0_c0_recipient,yoked,4,value,0.0,0.0
J05_g0_c0_recipient,yoked,5,key,0.0,0.0
J05_g0_c0_recipient,yoked,5,value,0.0,0.0
J05_g0_c0_recipient,yoked,6,key,0.0,0.0
J05_g0_c0_recipient,yoked,6,value,0.0,0.0
J05_g0_c0_recipient,yoked,7,key,0.0,0.0
J05_g0_c0_recipient,yoked,7,value,0.0,0.0
J05_g0_c0_recipient,yoked,8,key,0.0,0.0
J05_g0_c0_recipient,yoked,8,value,0.0,0.0
J05_g0_c0_recipient,yoked,9,key,0.0,1.3488874435424805
J05_g0_c0_recipient,yoked,9,value,0.0,2.350979804992676
J05_g0_c0_recipient,yoked,10,key,0.0,0.8430033922195435
J05_g0_c0_recipient,yoked,10,value,0.0,0.9595791697502136
J05_g0_c0_recipient,yoked,11,key,0.0,0.6952040195465088
J05_g0_c0_recipient,yoked,11,value,0.0,1.2521934509277344
J05_g0_c0_recipient,supervised_ridge,0,key,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,0,value,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,1,key,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,1,value,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,2,key,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,2,value,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,3,key,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,3,value,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,4,key,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,4,value,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,5,key,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,5,value,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,6,key,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,6,value,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,7,key,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,7,value,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,8,key,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,8,value,0.0,0.0
J05_g0_c0_recipient,supervised_ridge,9,key,0.0,0.9017060995101929
J05_g0_c0_recipient,supervised_ridge,9,value,0.0,1.5348365306854248
J05_g0_c0_recipient,supervised_ridge,10,key,0.0,0.9486047029495239
J05_g0_c0_recipient,supervised_ridge,10,value,0.0,1.0806070566177368
J05_g0_c0_recipient,supervised_ridge,11,key,0.0,0.7566243410110474
J05_g0_c0_recipient,supervised_ridge,11,value,0.0,1.194648027420044
J05_g0_c0_recipient,reflection,0,key,0.0,0.0
J05_g0_c0_recipient,reflection,0,value,0.0,0.0
J05_g0_c0_recipient,reflection,1,key,0.0,0.0
J05_g0_c0_recipient,reflection,1,value,0.0,0.0
J05_g0_c0_recipient,reflection,2,key,0.0,0.0
J05_g0_c0_recipient,reflection,2,value,0.0,0.0
J05_g0_c0_recipient,reflection,3,key,0.0,0.0
J05_g0_c0_recipient,reflection,3,value,0.0,0.0
J05_g0_c0_recipient,reflection,4,key,0.0,0.0
J05_g0_c0_recipient,reflection,4,value,0.0,0.0
