case,double_reflection_max_error,orthogonal_complement_max_error
J04_g0_c0_recipient,4.76837158203125e-07,1.783458681847705e-06
J04_g0_c0_color,4.76837158203125e-07,7.265129973177409e-07
J04_g0_c1_recipient,4.76837158203125e-07,1.6898125250186524e-06
J04_g0_c1_color,4.76837158203125e-07,1.394864527881623e-06
J04_g1_c0_recipient,4.76837158203125e-07,1.4440570543783338e-06
J04_g1_c0_color,4.76837158203125e-07,9.2497104375866e-07
J04_g1_c1_recipient,1.9073486328125e-06,1.4197649966796178e-06
J04_g1_c1_color,4.76837158203125e-07,1.4978717768343586e-06
J05_g0_c0_recipient,4.76837158203125e-07,1.6623486640554574e-06
J05_g0_c0_color,9.5367431640625e-07,1.7578378885829693e-06
J05_g0_c1_recipient,9.5367431640625e-07,9.379255940800135e-07
J05_g0_c1_color,4.76837158203125e-07,1.276318361220774e-06
J05_g1_c0_recipient,4.76837158203125e-07,1.6932582580508893e-06
J05_g1_c0_color,4.76837158203125e-07,1.6529868487324961e-06
J05_g1_c1_recipient,9.5367431640625e-07,1.7244317476183824e-06
J05_g1_c1_color,4.76837158203125e-07,1.1487691295997138e-06
J06_g0_c0_recipient,4.76837158203125e-07,1.1657301870471315e-06
J06_g0_c0_color,9.5367431640625e-07,1.7992003016331637e-06
J06_g0_c1_recipient,4.76837158203125e-07,1.3123404847270592e-06
J06_g0_c1_color,4.76837158203125e-07,7.739880807378086e-07
J06_g1_c0_recipient,1.9073486328125e-06,1.558055504169431e-06
J06_g1_c0_color,9.5367431640625e-07,1.052046497473924e-06
J06_g1_c1_recipient,4.76837158203125e-07,1.2832362346060222e-06
J06_g1_c1_color,9.5367431640625e-07,1.2732002305781975e-06
J07_g0_c0_recipient,4.76837158203125e-07,1.3288573192937747e-06
J07_g0_c0_color,4.76837158203125e-07,1.685996650735433e-06
J07_g0_c1_recipient,4.76837158203125e-07,1.6327004943583745e-06
J07_g0_c1_color,9.5367431640625e-07,1.4824175043059995e-06
J07_g1_c0_recipient,4.76837158203125e-07,1.8445338838546377e-06
J07_g1_c0_color,9.5367431640625e-07,1.5104558448442162e-06
J07_g1_c1_recipient,4.76837158203125e-07,1.7860525423074591e-06
J07_g1_c1_color,4.76837158203125e-07,1.634808304729063e-06
