receiver,attempt,message,before,accepted,after
guarded,replay,"{""coordinate"": 19, ""minus"": -0.07120211171676365, ""plus"": -0.07005437241144159, ""signature"": ""05d8be91f5a4b18a4ca777a5689f82e43484404561ac5725b39a3794ed1e298f"", ""source"": ""f3d8b7e57b032f4d0044d9470b556ff6f265d27bbbd2dfa8115ac7a3c961d5c8"", ""step"": 79}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 0, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 80}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 1, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 81}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 2, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 82}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 3, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 83}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 4, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 84}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 5, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 85}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 6, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 86}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 7, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 87}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 8, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 88}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 9, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 89}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 10, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 90}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 11, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 91}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
