policy,step,case,coordinate,sign,source,candidate,internal_score,task_score,edit_norm,capped
internal,0,F01_Tom,0,1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,4edf26cfb8c3a06f92e822225683317822648049b5c7fed52dfe24a272eadf14,-1.0658895419109746,-5.096281176004796,3.6891372203826904,0
internal,0,F01_Tom,0,-1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,c3bfd0572f59bd324d0c28c1d63f20d74301eed7fc7198035bc62a690e05e6a5,-0.9166455272851319,-3.816110002143474,3.6891372203826904,0
internal,1,F03_Tom,1,1,62f2a8563214742f013a3291ea622846e2dcf31d630c1aef2ca426d67af62db5,0785ef18a8ae085475b83b68ce1f0ad941ac28876fc818561828d0ab2220d6ee,-0.94236943563852,-3.4403379088260344,4.406177043914795,0
internal,1,F03_Tom,1,-1,62f2a8563214742f013a3291ea622846e2dcf31d630c1aef2ca426d67af62db5,d48c03422ac3fc4bd6b20a741c5f1335fa02fd017824b39fbcb5de856289e5b6,-0.7141460693283243,-2.1022801960112836,12.949060440063477,0
internal,2,F01_Sarah,2,1,82efa3cc1631bd13c5a664803100af543bfc29f21fbb273279b342f87dbb8bd5,eab820eab5539e3ae065f5335cc99d8250108dc150f78b473229ba9fa82cd30c,-0.41017387314771897,-3.8223519031045505,11.125269889831543,0
internal,2,F01_Sarah,2,-1,82efa3cc1631bd13c5a664803100af543bfc29f21fbb273279b342f87dbb8bd5,ed45d450fba4255511cfc1f51c93ad96be967ee23dac8df76395c6002c9fc0b2,-0.2957062574302322,-3.5922610986809254,13.773043632507324,0
internal,3,F02_Mary,3,1,cdf5f94f15b6ce1de80f0449603ceb59d046cb8279dbbb5571830e03754e62f6,a3c179f2b8baa570c437703e17ab466e69d7837a5292e0ea6db7226b18050ef9,-0.9532290654727544,-2.6737015427672173,1.8838281631469727,0
internal,3,F02_Mary,3,-1,cdf5f94f15b6ce1de80f0449603ceb59d046cb8279dbbb5571830e03754e62f6,f367cda7569f9d1690827b47afb80ac7c73fa13b282cead6834ae8d6738e0c1b,-1.0553924696515438,-3.0464319306731356,2.3356406688690186,0
internal,4,F03_Sarah,4,1,e3ca49fe37980f35a0d396675a727c60bd828cd023e618bc167c91080e15f0cc,8af38561284d574c46b6ec88b4d3d0c590b937e6342f31e28c66f56e8c5480b1,-0.8534220851837812,-4.972038916319475,2.8970367908477783,0
internal,4,F03_Sarah,4,-1,e3ca49fe37980f35a0d396675a727c60bd828cd023e618bc167c91080e15f0cc,e99a503192269b52ff7b81a3f05e2f4dcaded77c32099c409fd87ffbee67f3c3,-1.1504008889213595,-5.822814931678869,5.001943588256836,0
internal,5,F00_Mary,5,1,e9cf95319c7e964eebe98df379003a8b348cbcf6f4ed6bb12b6b4599920e94c7,dc6639a18439a1948e3b3958fdeb47d3d713489e20089bf229fd4bfb8672c7bc,-0.5338844891160894,-2.3479011582058464,11.994575500488281,0
internal,5,F00_Mary,5,-1,e9cf95319c7e964eebe98df379003a8b348cbcf6f4ed6bb12b6b4599920e94c7,95af9501376b067a77b75049337370034c353503ea8048b01ee2b780da7aa651,-0.5329492754134848,-2.3397129138771513,11.994575500488281,0
internal,6,F00_John,6,1,c8ee6263ba8863e8c18ba14516246cbc774046ba6751b8bf8132394f8e6a3bf8,bf56d2658708ceb386aa86cc123eefcbed755852a6533a5105e785db19fd79fa,-1.8256319928754763,-5.320009939352551,13.393560409545898,0
internal,6,F00_John,6,-1,c8ee6263ba8863e8c18ba14516246cbc774046ba6751b8bf8132394f8e6a3bf8,548abfd532f6b6fd0eaa64ec9c1e0bf5f9e5a63170a55a80194765cf54fffd5a,-1.827810842855642,-5.276054144334281,12.584456443786621,0
internal,7,F02_John,7,1,d859b1706e00e64862daefc401ee30dfe7f285ec5abbd9072311ca9a263c7289,0557b35a4c4674c7571d45f823319c5421cfd3b4f3a28e43dda1552bb689c1b3,-1.1947723517738693,-6.03563193323059,16.57440757751465,0
internal,7,F02_John,7,-1,d859b1706e00e64862daefc401ee30dfe7f285ec5abbd9072311ca9a263c7289,a641a426c0150c11438a4f84ec9645f83d203d92972ea6d3a5fed72846752981,-1.220389277034105,-6.024199772484827,14.073756217956543,0
internal,8,F02_Mary,8,1,9140ee74476aaad8f6bedbaae5fd9b8553a5d8e4bef7a53e6c29ffe27c3f52d9,5f9c83e30676781074e3edfabc07c827bddf4312dac30274a3113819628c5282,-0.5245667347683363,-2.1022074448351296,13.956250190734863,0
internal,8,F02_Mary,8,-1,9140ee74476aaad8f6bedbaae5fd9b8553a5d8e4bef7a53e6c29ffe27c3f52d9,ca9bc200ba4d1fb3bf874200227f15eb311d11d11c62bdea97f7b11e926bcecc,-0.5211211549030026,-2.105108537185999,13.144586563110352,0
internal,9,F01_Sarah,9,1,2e0b1d7085f7b508fdd554c7c2f80c0bb97901f03d8f7efeddfaccdda80f1357,2a540ee6e85feca9bc89820df33cfa37af8cf1555a0baa6ea735fc9691cffffb,-0.07530616074197301,-1.8397646622523742,33.08753204345703,0
internal,9,F01_Sarah,9,-1,2e0b1d7085f7b508fdd554c7c2f80c0bb97901f03d8f7efeddfaccdda80f1357,1780d6abb01772d10538815a6d339c077f3142fda3d5db7152791c2960f7e6fb,-0.07598669086566001,-1.9570739719787298,33.4375,0
internal,10,F00_John,10,1,2b6a1d604c9c174859d5c086d04fda40d6baadcae1da269f7d55266fcc785c51,7318d991ffd78e248c94468817a1ebe1ba1c46bff0ea3fa7ff161976cd2c8fe2,-1.7974218360855543,-5.317195885826826,13.242122650146484,0
internal,10,F00_John,10,-1,2b6a1d604c9c174859d5c086d04fda40d6baadcae1da269f7d55266fcc785c51,6448385d422a61cee2f5e2a3e61028b958317d54363acde33b4224eccaf875ce,-1.7806537305539256,-5.341708260673351,13.242122650146484,0
internal,11,F03_Sarah,11,1,c70160ea6e313b0111b09447bcc6137c6ad61a0b6fca510cba319318855bbc20,204d102352ec680e4a8c3ed81ce822e8c87d0c9385a3af617fd063655398ec29,-0.5074227222274965,-4.374760114975334,12.24107837677002,0
internal,11,F03_Sarah,11,-1,c70160ea6e313b0111b09447bcc6137c6ad61a0b6fca510cba319318855bbc20,ee10c5340d58baccbc034d602ff54a35969477ccbcba7be5cfca576828f90af4,-0.5015706947769442,-4.232258833250439,12.503667831420898,0
internal,12,F02_John,12,1,c925baed2bd36f80145d5a3d1fea13956edce7a19ee241e8c02cb6380022231f,5482f6a2c816360f622a09ba4cfca3e1827db40942f50df3b43e8758bfab4423,-1.22665731301353,-6.045601355416289,14.708890914916992,0
internal,12,F02_John,12,-1,c925baed2bd36f80145d5a3d1fea13956edce7a19ee241e8c02cb6380022231f,cebee634e3655d7c10aa3223f936637652ea8e590f3e4e9a7e6c0d871bf80088,-1.2215756067582277,-5.989293791216602,14.724875450134277,0
internal,13,F01_Tom,13,1,d0e2a25e40124c7d88ff1ad4336162315afd6c7d8a78ab4c8caa1d94e6dd51a9,7f4fca8e87b3f46e8b88de552f5d8a3e2721c51b50c656b2fedfe26bcc08daf6,-0.15695480733837983,-2.4179017250730386,30.385021209716797,0
internal,13,F01_Tom,13,-1,d0e2a25e40124c7d88ff1ad4336162315afd6c7d8a78ab4c8caa1d94e6dd51a9,6e04db6aff5d3a5ca25efacb9f6c6d374b5d9a605db923fadb6c28e9cfe01e76,-0.15694406107258468,-2.3218216784893047,29.99924659729004,0
internal,14,F03_Tom,14,1,2aec9c2d1cc88d6f4546fa026eca692bf9b242ebb777cb6a89faf4c811449017,ebc98b41d6cd9619ade9a6bba519e19efe9f73c6cfbd67b2d44c3355cfbbc999,-1.0333521923684224,-4.559230018502652,5.45274543762207,0
