policy,step,case,donor_step,message,accepted,before,after
internal,0,F01_Tom,-1,"{""coordinate"": 0, ""minus"": -0.9166455272851319, ""plus"": -1.0658895419109746, ""signature"": ""40c15a8e9c408420cf716a8be814f38853797fba29fdb2c5b9447cf16f81ef33"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 0}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,62f2a8563214742f013a3291ea622846e2dcf31d630c1aef2ca426d67af62db5
external_matched,0,F01_Tom,0,"{""coordinate"": 0, ""minus"": -0.9166455272851319, ""plus"": -1.0658895419109746, ""signature"": ""40c15a8e9c408420cf716a8be814f38853797fba29fdb2c5b9447cf16f81ef33"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 0}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,62f2a8563214742f013a3291ea622846e2dcf31d630c1aef2ca426d67af62db5
internal,1,F03_Tom,-1,"{""coordinate"": 1, ""minus"": -0.7141460693283243, ""plus"": -0.94236943563852, ""signature"": ""ae6805fc0c45cbd77946c13e6b10bb322079f8998bcea7297b21e45842c02afd"", ""source"": ""62f2a8563214742f013a3291ea622846e2dcf31d630c1aef2ca426d67af62db5"", ""step"": 1}",1,62f2a8563214742f013a3291ea622846e2dcf31d630c1aef2ca426d67af62db5,82efa3cc1631bd13c5a664803100af543bfc29f21fbb273279b342f87dbb8bd5
external_matched,1,F03_Tom,1,"{""coordinate"": 1, ""minus"": -0.7141460693283243, ""plus"": -0.94236943563852, ""signature"": ""ae6805fc0c45cbd77946c13e6b10bb322079f8998bcea7297b21e45842c02afd"", ""source"": ""62f2a8563214742f013a3291ea622846e2dcf31d630c1aef2ca426d67af62db5"", ""step"": 1}",1,62f2a8563214742f013a3291ea622846e2dcf31d630c1aef2ca426d67af62db5,82efa3cc1631bd13c5a664803100af543bfc29f21fbb273279b342f87dbb8bd5
internal,2,F01_Sarah,-1,"{""coordinate"": 2, ""minus"": -0.2957062574302322, ""plus"": -0.41017387314771897, ""signature"": ""2606f29b9eb1d95566e41d3a585a7f3d87d32c1822dc6fb0450c2e977bc36bd4"", ""source"": ""82efa3cc1631bd13c5a664803100af543bfc29f21fbb273279b342f87dbb8bd5"", ""step"": 2}",1,82efa3cc1631bd13c5a664803100af543bfc29f21fbb273279b342f87dbb8bd5,cdf5f94f15b6ce1de80f0449603ceb59d046cb8279dbbb5571830e03754e62f6
external_matched,2,F01_Sarah,2,"{""coordinate"": 2, ""minus"": -0.2957062574302322, ""plus"": -0.41017387314771897, ""signature"": ""2606f29b9eb1d95566e41d3a585a7f3d87d32c1822dc6fb0450c2e977bc36bd4"", ""source"": ""82efa3cc1631bd13c5a664803100af543bfc29f21fbb273279b342f87dbb8bd5"", ""step"": 2}",1,82efa3cc1631bd13c5a664803100af543bfc29f21fbb273279b342f87dbb8bd5,cdf5f94f15b6ce1de80f0449603ceb59d046cb8279dbbb5571830e03754e62f6
internal,3,F02_Mary,-1,"{""coordinate"": 3, ""minus"": -1.0553924696515438, ""plus"": -0.9532290654727544, ""signature"": ""8064e3def5a2e0c79033f1cf8ff4cda4be526ac7ed6c7fbe0ec6be305a0d8b48"", ""source"": ""cdf5f94f15b6ce1de80f0449603ceb59d046cb8279dbbb5571830e03754e62f6"", ""step"": 3}",1,cdf5f94f15b6ce1de80f0449603ceb59d046cb8279dbbb5571830e03754e62f6,e3ca49fe37980f35a0d396675a727c60bd828cd023e618bc167c91080e15f0cc
external_matched,3,F02_Mary,3,"{""coordinate"": 3, ""minus"": -1.0553924696515438, ""plus"": -0.9532290654727544, ""signature"": ""8064e3def5a2e0c79033f1cf8ff4cda4be526ac7ed6c7fbe0ec6be305a0d8b48"", ""source"": ""cdf5f94f15b6ce1de80f0449603ceb59d046cb8279dbbb5571830e03754e62f6"", ""step"": 3}",1,cdf5f94f15b6ce1de80f0449603ceb59d046cb8279dbbb5571830e03754e62f6,e3ca49fe37980f35a0d396675a727c60bd828cd023e618bc167c91080e15f0cc
internal,4,F03_Sarah,-1,"{""coordinate"": 4, ""minus"": -1.1504008889213595, ""plus"": -0.8534220851837812, ""signature"": ""ac4a80fd320cc67c25a48e43898c2d8dc3ea92f875e555c5bbb73a7aa27e5432"", ""source"": ""e3ca49fe37980f35a0d396675a727c60bd828cd023e618bc167c91080e15f0cc"", ""step"": 4}",1,e3ca49fe37980f35a0d396675a727c60bd828cd023e618bc167c91080e15f0cc,e9cf95319c7e964eebe98df379003a8b348cbcf6f4ed6bb12b6b4599920e94c7
external_matched,4,F03_Sarah,4,"{""coordinate"": 4, ""minus"": -1.1504008889213595, ""plus"": -0.8534220851837812, ""signature"": ""ac4a80fd320cc67c25a48e43898c2d8dc3ea92f875e555c5bbb73a7aa27e5432"", ""source"": ""e3ca49fe37980f35a0d396675a727c60bd828cd023e618bc167c91080e15f0cc"", ""step"": 4}",1,e3ca49fe37980f35a0d396675a727c60bd828cd023e618bc167c91080e15f0cc,e9cf95319c7e964eebe98df379003a8b348cbcf6f4ed6bb12b6b4599920e94c7
internal,5,F00_Mary,-1,"{""coordinate"": 5, ""minus"": -0.5329492754134848, ""plus"": -0.5338844891160894, ""signature"": ""f17ee9bc4520012fcd44d461684fa6a654dc2580ec1b19bf7709ede9410bae37"", ""source"": ""e9cf95319c7e964eebe98df379003a8b348cbcf6f4ed6bb12b6b4599920e94c7"", ""step"": 5}",1,e9cf95319c7e964eebe98df379003a8b348cbcf6f4ed6bb12b6b4599920e94c7,c8ee6263ba8863e8c18ba14516246cbc774046ba6751b8bf8132394f8e6a3bf8
external_matched,5,F00_Mary,5,"{""coordinate"": 5, ""minus"": -0.5329492754134848, ""plus"": -0.5338844891160894, ""signature"": ""f17ee9bc4520012fcd44d461684fa6a654dc2580ec1b19bf7709ede9410bae37"", ""source"": ""e9cf95319c7e964eebe98df379003a8b348cbcf6f4ed6bb12b6b4599920e94c7"", ""step"": 5}",1,e9cf95319c7e964eebe98df379003a8b348cbcf6f4ed6bb12b6b4599920e94c7,c8ee6263ba8863e8c18ba14516246cbc774046ba6751b8bf8132394f8e6a3bf8
internal,6,F00_John,-1,"{""coordinate"": 6, ""minus"": -1.827810842855642, ""plus"": -1.8256319928754763, ""signature"": ""940bdb773ba4e74a045e0d3f14ececf3b2490bb4709dfc3084f37aeae9ece3e7"", ""source"": ""c8ee6263ba8863e8c18ba14516246cbc774046ba6751b8bf8132394f8e6a3bf8"", ""step"": 6}",1,c8ee6263ba8863e8c18ba14516246cbc774046ba6751b8bf8132394f8e6a3bf8,d859b1706e00e64862daefc401ee30dfe7f285ec5abbd9072311ca9a263c7289
external_matched,6,F00_John,6,"{""coordinate"": 6, ""minus"": -1.827810842855642, ""plus"": -1.8256319928754763, ""signature"": ""940bdb773ba4e74a045e0d3f14ececf3b2490bb4709dfc3084f37aeae9ece3e7"", ""source"": ""c8ee6263ba8863e8c18ba14516246cbc774046ba6751b8bf8132394f8e6a3bf8"", ""step"": 6}",1,c8ee6263ba8863e8c18ba14516246cbc774046ba6751b8bf8132394f8e6a3bf8,d859b1706e00e64862daefc401ee30dfe7f285ec5abbd9072311ca9a263c7289
internal,7,F02_John,-1,"{""coordinate"": 7, ""minus"": -1.220389277034105, ""plus"": -1.1947723517738693, ""signature"": ""a831756c352d27789a83535e16dafa5117b6f4e9c46ac647d7f12497804f9b7e"", ""source"": ""d859b1706e00e64862daefc401ee30dfe7f285ec5abbd9072311ca9a263c7289"", ""step"": 7}",1,d859b1706e00e64862daefc401ee30dfe7f285ec5abbd9072311ca9a263c7289,9140ee74476aaad8f6bedbaae5fd9b8553a5d8e4bef7a53e6c29ffe27c3f52d9
external_matched,7,F02_John,7,"{""coordinate"": 7, ""minus"": -1.220389277034105, ""plus"": -1.1947723517738693, ""signature"": ""a831756c352d27789a83535e16dafa5117b6f4e9c46ac647d7f12497804f9b7e"", ""source"": ""d859b1706e00e64862daefc401ee30dfe7f285ec5abbd9072311ca9a263c7289"", ""step"": 7}",1,d859b1706e00e64862daefc401ee30dfe7f285ec5abbd9072311ca9a263c7289,9140ee74476aaad8f6bedbaae5fd9b8553a5d8e4bef7a53e6c29ffe27c3f52d9
internal,8,F02_Mary,-1,"{""coordinate"": 8, ""minus"": -0.5211211549030026, ""plus"": -0.5245667347683363, ""signature"": ""bb100ee27d9586d8aff0669c36917280c4770e7e0d7bd21c4f95d428a33dce57"", ""source"": ""9140ee74476aaad8f6bedbaae5fd9b8553a5d8e4bef7a53e6c29ffe27c3f52d9"", ""step"": 8}",1,9140ee74476aaad8f6bedbaae5fd9b8553a5d8e4bef7a53e6c29ffe27c3f52d9,2e0b1d7085f7b508fdd554c7c2f80c0bb97901f03d8f7efeddfaccdda80f1357
external_matched,8,F02_Mary,8,"{""coordinate"": 8, ""minus"": -0.5211211549030026, ""plus"": -0.5245667347683363, ""signature"": ""bb100ee27d9586d8aff0669c36917280c4770e7e0d7bd21c4f95d428a33dce57"", ""source"": ""9140ee74476aaad8f6bedbaae5fd9b8553a5d8e4bef7a53e6c29ffe27c3f52d9"", ""step"": 8}",1,9140ee74476aaad8f6bedbaae5fd9b8553a5d8e4bef7a53e6c29ffe27c3f52d9,2e0b1d7085f7b508fdd554c7c2f80c0bb97901f03d8f7efeddfaccdda80f1357
