family,split,giver,expected,other,arm,patch_norm,target_id,alternative_id,target_logit,alternative_logit,contrast,target_probability,top_id,top_text,recipient,target_top1,alternative_top1,invalid_top1,max_logit_difference_from_clean
F00,development,John,Mary,John,clean,0.0,5335,1757,-74.15451049804688,-77.38577270507812,3.23126220703125,0.4516572156664039,5335, Mary,Mary,1,0,0,0.0
F00,development,John,Mary,John,corrupt,0.0,5335,1757,-87.61323547363281,-85.57543182373047,-2.0378036499023438,0.041422868734734136,1757, John,John,0,1,0,13.813400268554688
F00,development,John,Mary,John,donor_r7,17.004701614379883,5335,1757,-83.7374496459961,-83.04015350341797,-0.697296142578125,0.08972206658120108,1757, John,John,0,1,0,10.12322998046875
F00,development,John,Mary,John,donor_r8,32.789764404296875,5335,1757,-77.14523315429688,-78.75702667236328,1.6117935180664062,0.2082614910954239,5335, Mary,Mary,1,0,0,3.7345123291015625
F00,development,John,Mary,John,donor_a9,8.315801620483398,5335,1757,-84.01991271972656,-83.27084350585938,-0.7490692138671875,0.08149311935083325,683, him,INVALID,0,0,1,10.435554504394531
F00,development,John,Mary,John,unrelated_norm,32.789764404296875,5335,1757,-83.72966766357422,-81.78690338134766,-1.9427642822265625,0.049354955448277046,1757, John,John,0,1,0,9.674858093261719
F00,development,John,Mary,John,permuted_norm,32.789764404296875,5335,1757,-84.35602569580078,-82.38291931152344,-1.9731063842773438,0.04053531544275229,1757, John,John,0,1,0,10.36895751953125
F00,development,John,Mary,John,wrong_address,32.789764404296875,5335,1757,-86.61370086669922,-84.73372650146484,-1.879974365234375,0.04683245582238698,1757, John,John,0,1,0,12.879348754882812
F00,development,John,Mary,John,inverse_norm,32.789764404296875,5335,1757,-90.28834533691406,-86.05160522460938,-4.2367401123046875,0.005672197222031861,1757, John,John,0,1,0,16.133834838867188
F00,development,John,Mary,John,cache_restore,0.0,5335,1757,-74.15451049804688,-77.38577270507812,3.23126220703125,0.4516572156664039,5335, Mary,Mary,1,0,0,0.0
F00,development,Mary,John,Mary,clean,0.0,1757,5335,-85.57543182373047,-87.61323547363281,2.0378036499023438,0.3178681782785886,1757, John,John,1,0,0,0.0
F00,development,Mary,John,Mary,corrupt,0.0,1757,5335,-77.38577270507812,-74.15451049804688,-3.23126220703125,0.01784389285434044,5335, Mary,Mary,0,1,0,13.813400268554688
F00,development,Mary,John,Mary,donor_r7,17.004701614379883,1757,5335,-83.28958892822266,-81.58162689208984,-1.7079620361328125,0.06125290685133825,5335, Mary,Mary,0,1,0,6.121612548828125
F00,development,Mary,John,Mary,donor_r8,32.789764404296875,1757,5335,-85.39701080322266,-86.11759948730469,0.7205886840820312,0.18287162874701016,1757, John,John,1,0,0,2.3877639770507812
F00,development,Mary,John,Mary,donor_a9,8.315801620483398,1757,5335,-80.12726593017578,-77.80796813964844,-2.3192977905273438,0.04057648403820025,5335, Mary,Mary,0,1,0,10.169677734375
F00,development,Mary,John,Mary,unrelated_norm,32.789764404296875,1757,5335,-75.61762237548828,-72.82295989990234,-2.7946624755859375,0.02974796187073965,5335, Mary,Mary,0,1,0,17.637779235839844
F00,development,Mary,John,Mary,permuted_norm,32.789764404296875,1757,5335,-79.8751449584961,-76.87907409667969,-2.9960708618164062,0.01982618787436078,5335, Mary,Mary,0,1,0,11.3267822265625
F00,development,Mary,John,Mary,wrong_address,32.789764404296875,1757,5335,-77.99066162109375,-74.8432388305664,-3.1474227905273438,0.01939237910891035,5335, Mary,Mary,0,1,0,13.01409912109375
F00,development,Mary,John,Mary,inverse_norm,32.789764404296875,1757,5335,-68.61198425292969,-62.52372360229492,-6.088260650634766,0.0012856972394068816,5335, Mary,Mary,0,1,0,26.559478759765625
F00,development,Mary,John,Mary,cache_restore,0.0,1757,5335,-85.57543182373047,-87.61323547363281,2.0378036499023438,0.3178681782785886,1757, John,John,1,0,0,0.0
F01,development,Tom,Sarah,Tom,clean,0.0,10490,4186,-76.44239044189453,-79.94652557373047,3.5041351318359375,0.36649128689626137,10490, Sarah,Sarah,1,0,0,0.0
F01,development,Tom,Sarah,Tom,corrupt,0.0,10490,4186,-92.0876693725586,-88.3438720703125,-3.7437973022460938,0.007275049147486803,4186, Tom,Tom,0,1,0,15.645278930664062
F01,development,Tom,Sarah,Tom,donor_r7,16.18939971923828,10490,4186,-88.67015838623047,-86.01427459716797,-2.6558837890625,0.024135544251357482,4186, Tom,Tom,0,1,0,12.716636657714844
F01,development,Tom,Sarah,Tom,donor_r8,33.56693649291992,10490,4186,-81.81163024902344,-83.51266479492188,1.7010345458984375,0.19019671131623833,10490, Sarah,Sarah,1,0,0,6.396636962890625
F01,development,Tom,Sarah,Tom,donor_a9,12.568707466125488,10490,4186,-85.51492309570312,-82.95574188232422,-2.5591812133789062,0.023748435926059176,4186, Tom,Tom,0,1,0,9.081024169921875
F01,development,Tom,Sarah,Tom,unrelated_norm,33.56693649291992,10490,4186,-84.60979461669922,-81.49939727783203,-3.1103973388671875,0.013612077915331868,4186, Tom,Tom,0,1,0,8.167404174804688
F01,development,Tom,Sarah,Tom,permuted_norm,33.56693649291992,10490,4186,-93.8957290649414,-90.35543060302734,-3.5402984619140625,0.00850150627684468,4186, Tom,Tom,0,1,0,17.453338623046875
F01,development,Tom,Sarah,Tom,wrong_address,33.56693649291992,10490,4186,-91.17573547363281,-87.58683013916016,-3.5889053344726562,0.008003886533382824,4186, Tom,Tom,0,1,0,14.733345031738281
F01,development,Tom,Sarah,Tom,inverse_norm,33.56693649291992,10490,4186,-93.43537902832031,-86.00615692138672,-7.429222106933594,0.00023075070103833426,4186, Tom,Tom,0,1,0,16.99298858642578
F01,development,Tom,Sarah,Tom,cache_restore,0.0,10490,4186,-76.44239044189453,-79.94652557373047,3.5041351318359375,0.36649128689626137,10490, Sarah,Sarah,1,0,0,0.0
F01,development,Sarah,Tom,Sarah,clean,0.0,4186,10490,-88.3438720703125,-92.0876693725586,3.7437973022460938,0.3074301389256211,4186, Tom,Tom,1,0,0,0.0
F01,development,Sarah,Tom,Sarah,corrupt,0.0,4186,10490,-79.94652557373047,-76.44239044189453,-3.5041351318359375,0.011021408574583698,10490, Sarah,Sarah,0,1,0,15.645278930664062
F01,development,Sarah,Tom,Sarah,donor_r7,16.18939971923828,4186,10490,-83.77825927734375,-83.00720977783203,-0.7710494995117188,0.05947442947194541,10490, Sarah,Sarah,0,1,0,9.080459594726562
F01,development,Sarah,Tom,Sarah,donor_r8,33.56693649291992,4186,10490,-86.3000717163086,-89.65315246582031,3.3530807495117188,0.1722405010103874,4186, Tom,Tom,1,0,0,4.4107818603515625
F01,development,Sarah,Tom,Sarah,donor_a9,12.568707466125488,4186,10490,-85.08472442626953,-82.47791290283203,-2.6068115234375,0.02245246167473082,10490, Sarah,Sarah,0,1,0,9.609756469726562
F01,development,Sarah,Tom,Sarah,unrelated_norm,33.56693649291992,4186,10490,-74.75279235839844,-71.99930572509766,-2.7534866333007812,0.017217847523432212,10490, Sarah,Sarah,0,1,0,22.52606201171875
F01,development,Sarah,Tom,Sarah,permuted_norm,33.56693649291992,4186,10490,-79.3989486694336,-76.01648712158203,-3.3824615478515625,0.009803192712319114,10490, Sarah,Sarah,0,1,0,16.577285766601562
F01,development,Sarah,Tom,Sarah,wrong_address,33.56693649291992,4186,10490,-80.73292541503906,-77.43144226074219,-3.301483154296875,0.012823818486896815,10490, Sarah,Sarah,0,1,0,14.656227111816406
F01,development,Sarah,Tom,Sarah,inverse_norm,33.56693649291992,4186,10490,-75.63423919677734,-66.94279479980469,-8.691444396972656,0.00011360794833118262,10490, Sarah,Sarah,0,1,0,25.890579223632812
F01,development,Sarah,Tom,Sarah,cache_restore,0.0,4186,10490,-88.3438720703125,-92.0876693725586,3.7437973022460938,0.3074301389256211,4186, Tom,Tom,1,0,0,0.0
F02,development,John,Mary,John,clean,0.0,5335,1757,-71.0475082397461,-75.28588104248047,4.238372802734375,0.608780160486186,5335, Mary,Mary,1,0,0,0.0
F02,development,John,Mary,John,corrupt,0.0,5335,1757,-88.46674346923828,-86.2744140625,-2.1923294067382812,0.05795756112735039,1757, John,John,0,1,0,18.622177124023438
F02,development,John,Mary,John,donor_r7,17.927845001220703,5335,1757,-83.60641479492188,-82.74278259277344,-0.8636322021484375,0.11666041268333842,1757, John,John,0,1,0,13.729530334472656
F02,development,John,Mary,John,donor_r8,35.94140625,5335,1757,-75.14164733886719,-77.26841735839844,2.12677001953125,0.2899686335685904,5335, Mary,Mary,1,0,0,5.088996887207031
F02,development,John,Mary,John,donor_a9,11.758159637451172,5335,1757,-81.73888397216797,-81.62727355957031,-0.11161041259765625,0.18077063344623717,1757, John,John,0,1,0,11.611061096191406
F02,development,John,Mary,John,unrelated_norm,35.94140625,5335,1757,-82.57781982421875,-80.51901245117188,-2.058807373046875,0.06979512969950662,1757, John,John,0,1,0,12.092460632324219
F02,development,John,Mary,John,permuted_norm,35.94140625,5335,1757,-86.63863372802734,-84.9053726196289,-1.7332611083984375,0.07944561116811576,1757, John,John,0,1,0,16.235389709472656
F02,development,John,Mary,John,wrong_address,35.94140625,5335,1757,-88.11746978759766,-85.93962860107422,-2.1778411865234375,0.058462825202066734,1757, John,John,0,1,0,18.1788330078125
F02,development,John,Mary,John,inverse_norm,35.94140625,5335,1757,-92.08100128173828,-87.60707092285156,-4.473930358886719,0.006803914190340182,1757, John,John,0,1,0,21.033493041992188
F02,development,John,Mary,John,cache_restore,0.0,5335,1757,-71.0475082397461,-75.28588104248047,4.238372802734375,0.608780160486186,5335, Mary,Mary,1,0,0,0.0
F02,development,Mary,John,Mary,clean,0.0,1757,5335,-86.2744140625,-88.46674346923828,2.1923294067382812,0.5190708803055992,1757, John,John,1,0,0,0.0
F02,development,Mary,John,Mary,corrupt,0.0,1757,5335,-75.28588104248047,-71.0475082397461,-4.238372802734375,0.008785339931104955,5335, Mary,Mary,0,1,0,18.622177124023438
F02,development,Mary,John,Mary,donor_r7,17.927845001220703,1757,5335,-82.1041488647461,-79.36225128173828,-2.7418975830078125,0.03457198593559432,5335, Mary,Mary,0,1,0,9.760444641113281
F02,development,Mary,John,Mary,donor_r8,35.94140625,1757,5335,-86.54212951660156,-86.74381256103516,0.20168304443359375,0.21702801787211412,1757, John,John,1,0,0,3.1699447631835938
F02,development,Mary,John,Mary,donor_a9,11.758159637451172,1757,5335,-79.7937240600586,-76.99005126953125,-2.8036727905273438,0.03467844047334319,5335, Mary,Mary,0,1,0,11.77679443359375
F02,development,Mary,John,Mary,unrelated_norm,35.94140625,1757,5335,-72.16580963134766,-68.69369506835938,-3.4721145629882812,0.017396760314637365,5335, Mary,Mary,0,1,0,23.196563720703125
F02,development,Mary,John,Mary,permuted_norm,35.94140625,1757,5335,-77.75617980957031,-74.08911895751953,-3.6670608520507812,0.013107520759195494,5335, Mary,Mary,0,1,0,15.40655517578125
F02,development,Mary,John,Mary,wrong_address,35.94140625,1757,5335,-76.21653747558594,-71.98876953125,-4.2277679443359375,0.009053517113748898,5335, Mary,Mary,0,1,0,17.646408081054688
F02,development,Mary,John,Mary,inverse_norm,35.94140625,1757,5335,-67.03199005126953,-59.986995697021484,-7.044994354248047,0.000625482030365522,5335, Mary,Mary,0,1,0,30.693466186523438
F02,development,Mary,John,Mary,cache_restore,0.0,1757,5335,-86.2744140625,-88.46674346923828,2.1923294067382812,0.5190708803055992,1757, John,John,1,0,0,0.0
F03,development,Tom,Sarah,Tom,clean,0.0,10490,4186,-73.0596923828125,-76.47203063964844,3.4123382568359375,0.4229329115639617,10490, Sarah,Sarah,1,0,0,0.0
F03,development,Tom,Sarah,Tom,corrupt,0.0,10490,4186,-85.64813995361328,-81.02935791015625,-4.618782043457031,0.0054041224616067016,4186, Tom,Tom,0,1,0,12.588447570800781
F03,development,Tom,Sarah,Tom,donor_r7,17.1652774810791,10490,4186,-85.21118927001953,-81.64034271240234,-3.5708465576171875,0.016095299606126844,4186, Tom,Tom,0,1,0,12.382148742675781
F03,development,Tom,Sarah,Tom,donor_r8,36.331180572509766,10490,4186,-77.54920959472656,-78.26200866699219,0.712799072265625,0.18393343831746817,10490, Sarah,Sarah,1,0,0,5.738594055175781
F03,development,Tom,Sarah,Tom,donor_a9,13.510025024414062,10490,4186,-79.0174331665039,-75.39824676513672,-3.6191864013671875,0.014313927100519217,4186, Tom,Tom,0,1,0,5.957740783691406
F03,development,Tom,Sarah,Tom,unrelated_norm,36.331180572509766,10490,4186,-79.95059967041016,-75.69351959228516,-4.257080078125,0.008090648802814873,4186, Tom,Tom,0,1,0,6.890907287597656
F03,development,Tom,Sarah,Tom,permuted_norm,36.331180572509766,10490,4186,-87.4190444946289,-83.20919036865234,-4.2098541259765625,0.007778556435231285,4186, Tom,Tom,0,1,0,14.359352111816406
F03,development,Tom,Sarah,Tom,wrong_address,36.331180572509766,10490,4186,-84.85650634765625,-80.29884338378906,-4.5576629638671875,0.005494912902795802,4186, Tom,Tom,0,1,0,11.79681396484375
F03,development,Tom,Sarah,Tom,inverse_norm,36.331180572509766,10490,4186,-83.90351104736328,-75.37388610839844,-8.529624938964844,0.0001446531180628791,4186, Tom,Tom,0,1,0,10.843818664550781
F03,development,Tom,Sarah,Tom,cache_restore,0.0,10490,4186,-73.0596923828125,-76.47203063964844,3.4123382568359375,0.4229329115639617,10490, Sarah,Sarah,1,0,0,0.0
F03,development,Sarah,Tom,Sarah,clean,0.0,4186,10490,-81.02935791015625,-85.64813995361328,4.618782043457031,0.5478185530722349,4186, Tom,Tom,1,0,0,0.0
F03,development,Sarah,Tom,Sarah,corrupt,0.0,4186,10490,-76.47203063964844,-73.0596923828125,-3.4123382568359375,0.01394157395382336,10490, Sarah,Sarah,0,1,0,12.588447570800781
F03,development,Sarah,Tom,Sarah,donor_r7,17.1652774810791,4186,10490,-76.8482666015625,-76.61202239990234,-0.23624420166015625,0.10901267252158324,683, him,INVALID,0,0,1,9.036117553710938
F03,development,Sarah,Tom,Sarah,donor_r8,36.331180572509766,4186,10490,-79.69905090332031,-83.76591491699219,4.066864013671875,0.33552454136326837,4186, Tom,Tom,1,0,0,3.6860198974609375
F03,development,Sarah,Tom,Sarah,donor_a9,13.510025024414062,4186,10490,-81.04269409179688,-78.20506286621094,-2.8376312255859375,0.02318927574423876,10490, Sarah,Sarah,0,1,0,7.443077087402344
F03,development,Sarah,Tom,Sarah,unrelated_norm,36.331180572509766,4186,10490,-72.40653991699219,-69.22030639648438,-3.1862335205078125,0.016607045045955796,10490, Sarah,Sarah,0,1,0,17.141464233398438
F03,development,Sarah,Tom,Sarah,permuted_norm,36.331180572509766,4186,10490,-76.16941833496094,-73.51671600341797,-2.6527023315429688,0.020519226788914973,10490, Sarah,Sarah,0,1,0,12.289497375488281
F03,development,Sarah,Tom,Sarah,wrong_address,36.331180572509766,4186,10490,-76.30863189697266,-72.87651824951172,-3.4321136474609375,0.014018206725128948,10490, Sarah,Sarah,0,1,0,12.771621704101562
F03,development,Sarah,Tom,Sarah,inverse_norm,36.331180572509766,4186,10490,-74.8863525390625,-65.3950424194336,-9.491310119628906,5.8704871075208044e-05,10490, Sarah,Sarah,0,1,0,20.314483642578125
F03,development,Sarah,Tom,Sarah,cache_restore,0.0,4186,10490,-81.02935791015625,-85.64813995361328,4.618782043457031,0.5478185530722349,4186, Tom,Tom,1,0,0,0.0
F04,heldout,David,Emma,David,clean,0.0,18966,3271,-85.8369140625,-89.1578140258789,3.3208999633789062,0.1825058059871111,18966, Emma,Emma,1,0,0,0.0
F04,heldout,David,Emma,David,corrupt,0.0,18966,3271,-95.59728240966797,-93.76384735107422,-1.83343505859375,0.019184839511231174,607, her,INVALID,0,0,1,10.745269775390625
F04,heldout,David,Emma,David,donor_r7,13.052440643310547,18966,3271,-90.56621551513672,-89.9197006225586,-0.646514892578125,0.024497528486801284,607, her,INVALID,0,0,1,5.217002868652344
