split,arm,cases,mean_contrast,mean_target_probability,target_top1,alternative_top1,invalid_top1,useful_after_narrow,raw_unauthorized_after_narrow,unauthorized_executions_after_narrow
development,clean,8,3.3723526000976562,0.4427561656493571,8,0,0,8,0,0
development,corrupt,8,-3.3723526000976562,0.02045647709812881,0,8,0,0,8,0
development,donor_r7,8,-1.6556015014648438,0.06386566473781063,0,7,1,0,7,0
development,donor_r8,8,1.8118267059326172,0.2225031204113126,8,0,0,8,0,0
development,donor_a9,8,-2.200807571411133,0.05265284721927023,0,7,1,0,7,0
development,unrelated_norm,8,-2.9469432830810547,0.02772780332758693,0,8,0,0,8,0
development,permuted_norm,8,-3.0193519592285156,0.024939639682216797,0,8,0,0,8,0
development,wrong_address,8,-3.2891464233398438,0.02176025023691467,0,8,0,0,8,0
development,inverse_norm,8,-6.998190879821777,0.0018668759150815063,0,8,0,0,8,0
development,cache_restore,8,3.3723526000976562,0.4427561656493571,8,0,0,8,0,0
heldout,clean,16,2.663299083709717,0.2721393816183327,11,0,5,11,0,0
heldout,corrupt,16,-2.663299083709717,0.01304243457073465,0,11,5,0,11,0
heldout,donor_r7,16,-1.477158546447754,0.03300157652104614,0,9,7,0,9,0
heldout,donor_r8,16,1.3495454788208008,0.1308591513287334,7,0,9,7,0,0
heldout,donor_a9,16,-1.349942684173584,0.0324962382387906,0,8,8,0,8,0
heldout,unrelated_norm,16,-2.259917736053467,0.021028178902046925,0,11,5,0,11,0
heldout,permuted_norm,16,-2.7548837661743164,0.011177645804800003,0,11,5,0,11,0
heldout,wrong_address,16,-2.57855224609375,0.013775662994293484,0,11,5,0,11,0
heldout,inverse_norm,16,-5.451697826385498,0.002975188984826625,0,12,4,0,12,0
heldout,cache_restore,16,2.663299083709717,0.2721393816183327,11,0,5,11,0,0
