condition,stage,task,task_name,n,correct_mean,source_bits_mean,samples_mean,retrievals_mean,operations_mean,assembly_bits_mean,memory_entries_mean,memory_serialized_bytes_mean
assembly_coarsened,0,0,focused_0,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
assembly_coarsened,0,1,focused_5,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
assembly_coarsened,0,2,broad_coarse,5,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
assembly_coarsened,0,3,ordered_binding,5,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
assembly_coarsened,1,0,focused_0,3,0.3333333333333333,2.0,1.0,0.0,1.0,1.0,7.0,302.0
assembly_coarsened,1,1,focused_5,3,0.3333333333333333,2.0,1.0,0.0,1.0,1.0,7.0,302.0
assembly_coarsened,1,2,broad_coarse,3,1.0,3.0,3.0,0.0,3.0,3.0,9.0,391.0
assembly_coarsened,1,3,ordered_binding,3,0.0,4.0,2.0,0.0,2.0,2.0,8.0,345.0
assembly_coarsened,1,4,delayed_pair,4,0.0,0.0,0.0,2.0,2.0,2.0,6.0,259.0
assembly_coarsened,1,5,temporal_order,4,0.5,2.0,1.0,1.0,2.0,2.0,7.0,302.0
binding_inverse_rescue,0,0,focused_0,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
binding_inverse_rescue,0,1,focused_5,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
binding_inverse_rescue,0,2,broad_coarse,5,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
binding_inverse_rescue,0,3,ordered_binding,5,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
binding_inverse_rescue,1,0,focused_0,3,1.0,2.0,1.0,0.0,1.0,2.0,7.0,302.0
binding_inverse_rescue,1,1,focused_5,3,1.0,2.0,1.0,0.0,1.0,2.0,7.0,302.0
binding_inverse_rescue,1,2,broad_coarse,3,1.0,3.0,3.0,0.0,3.0,3.0,9.0,391.0
binding_inverse_rescue,1,3,ordered_binding,3,1.0,4.0,2.0,0.0,2.0,4.0,8.0,345.0
binding_inverse_rescue,1,4,delayed_pair,4,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
binding_inverse_rescue,1,5,temporal_order,4,1.0,2.0,1.0,1.0,2.0,4.0,7.0,302.0
binding_permuted,0,0,focused_0,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
binding_permuted,0,1,focused_5,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
binding_permuted,0,2,broad_coarse,5,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
binding_permuted,0,3,ordered_binding,5,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
binding_permuted,1,0,focused_0,3,0.3333333333333333,2.0,1.0,0.0,1.0,2.0,7.0,302.0
binding_permuted,1,1,focused_5,3,0.3333333333333333,2.0,1.0,0.0,1.0,2.0,7.0,302.0
