model,role,bits,accuracy,bayes_error,states,representation_cells
role_conditioned_assembly,player,4,1.0,0.0,4096,16
ordinary_task_attention,player,4,1.0,0.0,4096,16
fixed_fine_pair,player,4,1.0,0.0,4096,16
fixed_gain_pair,player,4,1.0,0.0,4096,16
fixed_coarse_four,player,4,0.25,0.75,4096,16
fixed_low_pair,player,2,0.25,0.75,4096,4
fixed_all_fine,player,12,1.0,0.0,4096,4096
stale_previous_role,player,4,0.25,0.75,4096,16
role_conditioned_assembly,security,4,1.0,0.0,4096,16
ordinary_task_attention,security,4,1.0,0.0,4096,16
fixed_fine_pair,security,4,0.0625,0.9375,4096,16
fixed_gain_pair,security,4,0.0625,0.9375,4096,16
fixed_coarse_four,security,4,0.25,0.75,4096,16
fixed_low_pair,security,2,0.0625,0.9375,4096,4
fixed_all_fine,security,12,1.0,0.0,4096,4096
stale_previous_role,security,4,0.0625,0.9375,4096,16
role_conditioned_assembly,manager,4,1.0,0.0,4096,16
ordinary_task_attention,manager,4,1.0,0.0,4096,16
fixed_fine_pair,manager,4,0.0625,0.9375,4096,16
fixed_gain_pair,manager,4,0.0625,0.9375,4096,16
fixed_coarse_four,manager,4,0.125,0.875,4096,16
fixed_low_pair,manager,2,0.0625,0.9375,4096,4
fixed_all_fine,manager,12,1.0,0.0,4096,4096
stale_previous_role,manager,4,0.25,0.75,4096,16
role_conditioned_assembly,speaker,4,1.0,0.0,4096,16
ordinary_task_attention,speaker,4,1.0,0.0,4096,16
fixed_fine_pair,speaker,4,0.0625,0.9375,4096,16
fixed_gain_pair,speaker,4,0.0625,0.9375,4096,16
fixed_coarse_four,speaker,4,0.125,0.875,4096,16
fixed_low_pair,speaker,2,0.0625,0.9375,4096,4
fixed_all_fine,speaker,12,1.0,0.0,4096,4096
stale_previous_role,speaker,4,0.25,0.75,4096,16
role_conditioned_assembly,odor_response,4,1.0,0.0,4096,16
ordinary_task_attention,odor_response,4,1.0,0.0,4096,16
fixed_fine_pair,odor_response,4,0.0625,0.9375,4096,16
fixed_gain_pair,odor_response,4,0.0625,0.9375,4096,16
fixed_coarse_four,odor_response,4,0.125,0.875,4096,16
fixed_low_pair,odor_response,2,0.0625,0.9375,4096,4
fixed_all_fine,odor_response,12,1.0,0.0,4096,4096
stale_previous_role,odor_response,4,0.0625,0.9375,4096,16
role_conditioned_assembly,food_handling,4,1.0,0.0,4096,16
ordinary_task_attention,food_handling,4,1.0,0.0,4096,16
fixed_fine_pair,food_handling,4,0.25,0.75,4096,16
fixed_gain_pair,food_handling,4,0.25,0.75,4096,16
fixed_coarse_four,food_handling,4,0.125,0.875,4096,16
fixed_low_pair,food_handling,2,0.125,0.875,4096,4
fixed_all_fine,food_handling,12,1.0,0.0,4096,4096
stale_previous_role,food_handling,4,0.25,0.75,4096,16
