condition,two_record_fly,equally_weighted_nine_fly_mean
A2,M+N,0.38633387112560075
A2,M+O,0.3984046841403754
A2,M+P,0.36547878142124507
A2,M+Q,0.37699893753235153
A2,M+R,0.3645278072907684
A2,M+S,0.3943888994832962
A2,M+T,0.3756166196981304
A2,M+U,0.37056157418758606
A2,M+V,0.36467007503867016
A2,N+O,0.4293017579652287
A2,N+P,0.39637585524609836
A2,N+Q,0.40789601135720477
A2,N+R,0.3954248811156217
A2,N+S,0.42528597330814943
A2,N+T,0.40651369352298367
A2,N+U,0.40145864801243936
A2,N+V,0.3955671488635234
A2,O+P,0.408446668260873
A2,O+Q,0.41996682437197946
A2,O+R,0.4074956941303963
A2,O+S,0.43735678632292413
A2,O+T,0.41858450653775836
A2,O+U,0.413529461027214
A2,O+V,0.4076379618782981
A2,P+Q,0.38704092165284915
A2,P+R,0.374569791411266
A2,P+S,0.4044308836037938
A2,P+T,0.38565860381862804
A2,P+U,0.3806035583080837
A2,P+V,0.3747120591591677
A2,Q+R,0.38608994752237247
A2,Q+S,0.4159510397149002
A2,Q+T,0.39717875992973445
A2,Q+U,0.39212371441919014
A2,Q+V,0.3862322152702742
A2,R+S,0.40347990947331713
A2,R+T,0.38470762968815136
A2,R+U,0.379652584177607
A2,R+V,0.3737610850286911
A2,S+T,0.4145687218806791
A2,S+U,0.4095136763701348
A2,S+V,0.40362217722121885
A2,T+U,0.39074139658496904
A2,T+V,0.3848498974360531
A2,U+V,0.37979485192550877
A4,M+N,0.3706303264548291
A4,M+O,0.36435016117552
A4,M+P,0.3477635340529551
A4,M+Q,0.3656906112600772
A4,M+R,0.317052717939789
A4,M+S,0.36814480554158197
A4,M+T,0.3518096158580024
A4,M+U,0.35608322793570496
A4,M+V,0.3644128144390049
A4,N+O,0.37521390730977205
A4,N+P,0.3586272801872072
A4,N+Q,0.37655435739432924
A4,N+R,0.32791646407404107
A4,N+S,0.379008551675834
A4,N+T,0.3626733619922545
A4,N+U,0.366946974069957
A4,N+V,0.375276560573257
A4,O+P,0.3523471149078981
A4,O+Q,0.37027419211502016
A4,O+R,0.321636298794732
A4,O+S,0.37272838639652495
A4,O+T,0.3563931967129454
A4,O+U,0.36066680879064794
A4,O+V,0.3689963952939479
A4,P+Q,0.3536875649924553
A4,P+R,0.3050496716721671
A4,P+S,0.3561417592739601
A4,P+T,0.3398065695903805
A4,P+U,0.3440801816680831
A4,P+V,0.35240976817138303
A4,Q+R,0.3229767488792892
A4,Q+S,0.37406883648108213
A4,Q+T,0.3577336467975026
A4,Q+U,0.36200725887520513
A4,Q+V,0.3703368453785051
A4,R+S,0.32543094316079396
A4,R+T,0.3090957534772144
A4,R+U,0.31336936555491696
A4,R+V,0.3216989520582169
A4,S+T,0.36018784107900736
A4,S+U,0.3644614531567099
A4,S+V,0.37279103966000987
A4,T+U,0.34812626347313036
A4,T+V,0.3564558499764303
A4,U+V,0.36072946205413287
