condition,record_column,cell_200,cell_260,response_200,response_260,contrast_260_minus_200,equal_fit,equal_response_residual
A2,M,M31,M34,-1.31809554944107,-0.566558603717729,0.751536945723341,-0.9423270765793995,0.282403890393584
A2,N,N31,N34,-0.130492821532678,0.0648967953433042,0.1953896168759822,-0.0327980130946869,0.019088551191471553
A2,O,O31,O34,-0.491913440669809,-0.513798458059771,-0.021885017389961958,-0.50285594936479,0.00023947699307946867
A2,P,P31,P34,-1.18347090927253,-0.612689677718146,0.570781231554384,-0.898080293495338,0.16289560714736967
A2,Q,Q31,Q34,-1.02796015292269,-0.664541731368222,0.363418421554468,-0.846250942145456,0.06603647456257052
A2,R,R31,R34,-1.04235341124763,-0.454454645344666,0.587898765902964,-0.748404028296148,0.17281247947511405
A2,S,S31,S34,-0.556932828434177,-0.506533721996713,0.050399106437464036,-0.531733275215445,0.0012700349648474144
A2,T,T31,T34,-1.32281762788206,-0.934517485311612,0.388300142570448,-1.128667556596836,0.07538850036011512
A2,U,U31,U34,-1.04889167370438,-0.569600711944134,0.4792909617602461,-0.809246192824257,0.11485991301253085
A2,V,V31,V34,-0.538907202077714,0.0464307443630189,0.5853379464407329,-0.24623822885734756,0.17131025577172715
A4,M,M65,M68,-1.31045565904885,-1.01461189518373,0.2958437638651201,-1.16253377711629,0.04376176630894048
A4,N,N65,N68,-0.242675874717875,-0.142379541269292,0.10029633344858299,-0.19252770799358349,0.005029677251614673
A4,O,O65,O68,-0.436323921988773,-0.222984613512627,0.21333930847614602,-0.3296542677507,0.022756830270540093
A4,P,P65,P68,-1.16895161469826,-0.657053018015946,0.511898596682314,-0.9130023163571029,0.13102008664266118
A4,Q,Q65,Q68,-0.723368199874463,-0.534156992920346,0.18921120695411697,-0.6287625963974045,0.017900440418516843
A4,R,R65,R68,-1.51282899764506,-0.448135710925756,1.064693286719304,-0.980482354285408,0.566785897392577
A4,S,S65,S68,-0.654812339461317,-0.509776629574286,0.14503570988703096,-0.5822944845178015,0.010517678571217505
A4,T,T65,T68,-0.956413608486681,-0.517344484295218,0.43906912419146304,-0.7368790463909495,0.0963908479091292
A4,U,U65,U68,-0.928175123126028,-0.566031016333211,0.36214410679281706,-0.7471030697296195,0.06557417704238364
A4,V,V65,V68,-0.516795443854679,-0.304583894121261,0.212211549733418,-0.41068966898797,0.022516870920129467
