compiled_row_ordinal,cell_type,compiled_response,compiled_count,candidate_led_group_count,candidate_led_group_ordinals,comparison,derived_response,complete_window_count,response_abs_difference,amplitude_agrees,count_agrees,candidate_mean_min,candidate_mean_max
0,pR7,0.013023343395614598,21.0,1,[2576],one_led_group,0.010850295353521515,22,0.002173048042093083,False,False,0.010850295353521515,0.010850295353521515
1,pR7,-0.0014911063936687628,21.0,1,[2577],one_led_group,-0.0023760675573696083,22,0.0008849611637008455,False,False,-0.0023760675573696083,-0.0023760675573696083
2,pR7,0.07843683463081659,43.0,1,[2578],one_led_group,0.08778722256806988,45,0.00935038793725329,False,False,0.08778722256806988,0.08778722256806988
3,pR7,0.09005569707848286,28.0,1,[2579],one_led_group,0.09753617195862849,29,0.007480474880145624,False,False,0.09753617195862849,0.09753617195862849
4,pR7,0.4718133841990601,14.0,1,[2581],one_led_group,0.4718133841990601,14,0.0,True,True,0.4718133841990601,0.4718133841990601
5,pR7,0.20032700475208204,18.0,1,[2582],one_led_group,0.20032700475208204,18,0.0,True,True,0.20032700475208204,0.20032700475208204
6,pR7,0.794748384784317,14.0,1,[2583],one_led_group,0.7947483847843169,14,1.1102230246251565e-16,True,True,0.7947483847843169,0.7947483847843169
7,pR7,0.322793589166437,26.0,1,[2584],one_led_group,0.3227935891664371,26,5.551115123125783e-17,True,True,0.3227935891664371,0.3227935891664371
8,pR7,-0.015313763874440958,8.0,1,[2585],one_led_group,-0.015313763874440958,8,0.0,True,True,-0.015313763874440958,-0.015313763874440958
9,pR7,0.6981879716174303,8.0,1,[2586],one_led_group,0.6981879716174304,8,1.1102230246251565e-16,True,True,0.6981879716174304,0.6981879716174304
10,pR7,0.10986846115509093,14.0,1,[2587],one_led_group,0.10986846115509094,14,1.3877787807814457e-17,True,True,0.10986846115509094,0.10986846115509094
11,pR7,0.22601514806067208,18.0,1,[2588],one_led_group,0.22601514806067208,18,0.0,True,True,0.22601514806067208,0.22601514806067208
12,pR7,0.0827232576026186,25.0,1,[2589],one_led_group,0.08928999977577799,26,0.00656674217315939,False,False,0.08928999977577799,0.08928999977577799
13,pR7,0.03380011140044268,22.0,1,[2590],one_led_group,0.04608293234533432,23,0.012282820944891637,False,False,0.04608293234533432,0.04608293234533432
14,pR7,0.23673657862126768,16.0,1,[2591],one_led_group,0.2367365786212677,16,2.7755575615628914e-17,True,True,0.2367365786212677,0.2367365786212677
15,pR7,0.22260229433092374,52.0,1,[2592],one_led_group,0.26262433029890403,55,0.04002203596798029,False,False,0.26262433029890403,0.26262433029890403
16,pR7,0.10351751303923286,31.0,1,[2593],one_led_group,0.10351751303923282,31,4.163336342344337e-17,True,True,0.10351751303923282,0.10351751303923282
17,pR7,0.15171287971821526,13.0,1,[2594],one_led_group,0.1517128797182153,13,2.7755575615628914e-17,True,True,0.1517128797182153,0.1517128797182153
18,pR7,0.10774235485182738,13.0,1,[2595],one_led_group,0.10774235485182741,13,2.7755575615628914e-17,True,True,0.10774235485182741,0.10774235485182741
19,pR7,0.11014899492240944,11.0,1,[2596],one_led_group,0.11014899492240944,11,0.0,True,True,0.11014899492240944,0.11014899492240944
20,pR7,0.0487713712731584,21.0,1,[2597],one_led_group,0.0534581197651311,23,0.004686748491972703,False,False,0.0534581197651311,0.0534581197651311
21,pR7,0.46291556220229885,10.0,1,[2598],one_led_group,0.462915562202299,10,1.6653345369377348e-16,True,True,0.462915562202299,0.462915562202299
22,pR7,0.08620424128133165,32.0,1,[2599],one_led_group,0.08620424128133167,32,1.3877787807814457e-17,True,True,0.08620424128133167,0.08620424128133167
23,pR7,0.10555012103472992,24.0,1,[2600],one_led_group,0.1840485852576101,27,0.07849846422288016,False,False,0.1840485852576101,0.1840485852576101
24,pR7,0.6703886799675827,34.0,1,[2601],one_led_group,0.674122419124025,36,0.0037337391564423728,False,False,0.674122419124025,0.674122419124025
25,pR7,0.5970674390347291,109.0,1,[2602],one_led_group,0.5579772591761596,112,0.03909017985856955,False,False,0.5579772591761596,0.5579772591761596
26,pR7,0.4456271512236897,23.0,1,[2603],one_led_group,0.49301354832661287,24,0.047386397102923195,False,False,0.49301354832661287,0.49301354832661287
27,pR7,0.5014050264556386,7.0,1,[2604],one_led_group,0.346378352473137,8,0.15502667398250158,False,False,0.346378352473137,0.346378352473137
28,pR7,0.2261038291305054,31.0,1,[2605],one_led_group,0.2937326365684742,33,0.06762880743796881,False,False,0.2937326365684742,0.2937326365684742
29,pR7,0.3131626241305763,52.0,1,[2606],one_led_group,0.31316262413057633,52,5.551115123125783e-17,True,True,0.31316262413057633,0.31316262413057633
30,pR7,0.1316454628587212,22.0,1,[2607],one_led_group,0.13164546285872122,22,2.7755575615628914e-17,True,True,0.13164546285872122,0.13164546285872122
31,pR7,-0.023675282294917575,11.0,1,[2610],one_led_group,-0.023767863899170835,13,9.258160425325984e-05,False,False,-0.023767863899170835,-0.023767863899170835
32,pR7,0.006175295620817275,13.0,1,[2611],one_led_group,0.006175295620817278,13,2.6020852139652106e-18,True,True,0.006175295620817278,0.006175295620817278
33,pR7,0.11585775791111554,5.0,1,[2612],one_led_group,0.11585775791111555,5,1.3877787807814457e-17,True,True,0.11585775791111555,0.11585775791111555
34,pR7,0.7256774453053503,45.0,1,[2613],one_led_group,0.7256774453053502,45,1.1102230246251565e-16,True,True,0.7256774453053502,0.7256774453053502
35,pR7,0.46315201949604695,24.0,1,[2614],one_led_group,0.46315201949604684,24,1.1102230246251565e-16,True,True,0.46315201949604684,0.46315201949604684
36,pR7,0.11414146440777971,59.0,1,[2615],one_led_group,0.15928975901119358,61,0.045148294603413866,False,False,0.15928975901119358,0.15928975901119358
37,pR7,0.30055152218210485,15.0,1,[2616],one_led_group,0.3739378462090762,17,0.07338632402697137,False,False,0.3739378462090762,0.3739378462090762
38,pR7,0.5267138549189075,52.0,1,[2617],one_led_group,0.5027816715412998,53,0.02393218337760772,False,False,0.5027816715412998,0.5027816715412998
39,pR7,0.4650048289764955,11.0,1,[2618],one_led_group,0.5186225966466145,12,0.053617767670119,False,False,0.5186225966466145,0.5186225966466145
40,pR7,0.08731905435568058,7.0,1,[2619],one_led_group,0.0773791111190154,8,0.00993994323666518,False,False,0.0773791111190154,0.0773791111190154
41,pR7,0.03687201351260285,11.0,1,[2620],one_led_group,-0.0005710577888075052,12,0.037443071301410356,False,False,-0.0005710577888075052,-0.0005710577888075052
42,pR7,0.13486343263470252,17.0,1,[2621],one_led_group,0.2554026452425477,19,0.12053921260784517,False,False,0.2554026452425477,0.2554026452425477
