parameters,modules,protocol,context,cell,title,odor,stage,nativeFigure,native,local,errorHz
March 2023,2,fitting_script,0,0,DAN-\gamma1pedc,0,0,april-2modules-attractive.fig,-2.5439767068497874,-2.5439767068497874,0.0
March 2023,2,fitting_script,0,0,DAN-\gamma1pedc,0,1,april-2modules-attractive.fig,-0.6574804263468176,-0.6574804263468176,0.0
March 2023,2,fitting_script,0,0,DAN-\gamma1pedc,0,2,april-2modules-attractive.fig,-0.4533955857795998,-0.4533955857795998,0.0
March 2023,2,fitting_script,0,0,DAN-\gamma1pedc,0,3,april-2modules-attractive.fig,-2.3456263849871477,-2.3456263849871477,0.0
March 2023,2,fitting_script,0,0,DAN-\gamma1pedc,0,4,april-2modules-attractive.fig,-2.541561177945393,-2.541561177945393,0.0
March 2023,2,fitting_script,0,0,DAN-\gamma1pedc,0,5,april-2modules-attractive.fig,-2.5439767068497874,-2.5439767068497874,0.0
March 2023,2,fitting_script,0,0,DAN-\gamma1pedc,1,0,april-2modules-attractive.fig,-2.5439767068497874,-2.5439767068497874,0.0
March 2023,2,fitting_script,0,0,DAN-\gamma1pedc,1,1,april-2modules-attractive.fig,-1.1298914244592726,-1.1298914244592726,0.0
March 2023,2,fitting_script,0,0,DAN-\gamma1pedc,1,2,april-2modules-attractive.fig,-1.1382259702802997,-1.1382259702802997,0.0
March 2023,2,fitting_script,0,0,DAN-\gamma1pedc,1,3,april-2modules-attractive.fig,-2.575659766194519,-2.575659766194519,0.0
March 2023,2,fitting_script,0,0,DAN-\gamma1pedc,1,4,april-2modules-attractive.fig,-2.5466902864538916,-2.5466902864538916,0.0
March 2023,2,fitting_script,0,0,DAN-\gamma1pedc,1,5,april-2modules-attractive.fig,-2.5439767068497874,-2.5439767068497874,0.0
March 2023,2,fitting_script,0,2,DAN-\alpha3,0,0,april-2modules-attractive.fig,-4.204290686779414,-4.204290686779414,0.0
March 2023,2,fitting_script,0,2,DAN-\alpha3,0,1,april-2modules-attractive.fig,2.437716751615849,2.437716751615849,0.0
March 2023,2,fitting_script,0,2,DAN-\alpha3,0,2,april-2modules-attractive.fig,4.362452932373708,4.362452932373708,0.0
March 2023,2,fitting_script,0,2,DAN-\alpha3,0,3,april-2modules-attractive.fig,-2.3764790974549026,-2.3764790974549026,0.0
March 2023,2,fitting_script,0,2,DAN-\alpha3,0,4,april-2modules-attractive.fig,-4.181488472029563,-4.181488472029563,0.0
March 2023,2,fitting_script,0,2,DAN-\alpha3,0,5,april-2modules-attractive.fig,-4.204290689698767,-4.204290689698767,0.0
March 2023,2,fitting_script,0,2,DAN-\alpha3,1,0,april-2modules-attractive.fig,-4.204290686779414,-4.204290686779414,0.0
March 2023,2,fitting_script,0,2,DAN-\alpha3,1,1,april-2modules-attractive.fig,-2.709886214072296,-2.709886214072296,0.0
March 2023,2,fitting_script,0,2,DAN-\alpha3,1,2,april-2modules-attractive.fig,-2.8073467951788027,-2.8073467951788027,0.0
March 2023,2,fitting_script,0,2,DAN-\alpha3,1,3,april-2modules-attractive.fig,-4.567575874044748,-4.567575874044748,0.0
March 2023,2,fitting_script,0,2,DAN-\alpha3,1,4,april-2modules-attractive.fig,-4.230292854475729,-4.230292854475729,0.0
March 2023,2,fitting_script,0,2,DAN-\alpha3,1,5,april-2modules-attractive.fig,-4.204290675953047,-4.204290675953047,0.0
March 2023,2,fitting_script,0,3,MBON-\gamma1pedc>\alpha/\beta,0,0,april-2modules-attractive.fig,22.107789526857758,22.107789526857758,0.0
March 2023,2,fitting_script,0,3,MBON-\gamma1pedc>\alpha/\beta,0,1,april-2modules-attractive.fig,-2.57436975457982,-2.57436975457982,0.0
March 2023,2,fitting_script,0,3,MBON-\gamma1pedc>\alpha/\beta,0,2,april-2modules-attractive.fig,-8.081114138569049,-8.081114138569049,0.0
